geography_type,geography_code,geography_name,parent_geography,clock_basis,observation_count,mean_demand_mw,minimum_demand_mw,minimum_time_end,peak_demand_mw,peak_time_end,load_factor_mean_divided_by_peak,maximum_one_hour_increase_mw,maximum_one_hour_increase_time_end,maximum_one_hour_decrease_mw,maximum_one_hour_decrease_time_end,unit,source_id
subregion,ISNE:4005,ISNE:4005,ISNE,UTC,8784,870.683,407.0,2024-09-25T02:00,2403.0,2024-07-15T20:00,0.362332,628.0,2024-07-15T05:00,-760.0,2024-07-16T05:00,MW,SRC-EIA-930
subregion,ISNE:4006,ISNE:4006,ISNE,UTC,8784,1585.68,924.0,2024-04-27T19:00,3324.0,2024-07-16T22:00,0.47704,273.0,2024-04-08T20:00,-311.0,2024-06-21T03:00,MW,SRC-EIA-930
subregion,ISNE:4007,ISNE:4007,ISNE,UTC,8784,1788.435,1130.0,2024-04-27T18:00,3169.0,2024-07-16T23:00,0.564353,266.0,2024-04-08T20:00,-248.0,2024-06-21T02:00,MW,SRC-EIA-930
subregion,ISNE:4008,ISNE:4008,ISNE,UTC,8784,2673.83,1755.0,2024-04-30T08:00,5226.0,2024-06-20T21:00,0.51164,307.0,2024-12-10T12:00,-528.0,2024-06-21T02:00,MW,SRC-EIA-930
subregion,MISO:0001,MISO:0001,MISO,UTC,8760,10688.102,7856.0,2024-05-27T09:00,16912.0,2024-08-26T23:00,0.631983,947.0,2024-10-23T12:00,-1167.0,2024-07-31T05:00,MW,SRC-EIA-930
subregion,MISO:0004,MISO:0004,MISO,UTC,8760,4997.559,3311.0,2024-03-31T09:00,8852.0,2024-08-27T23:00,0.564568,497.0,2024-08-27T17:00,-642.0,2024-08-28T04:00,MW,SRC-EIA-930
subregion,MISO:0006,MISO:0006,MISO,UTC,8760,9897.633,6829.0,2024-05-12T10:00,16294.0,2024-08-27T22:00,0.60744,930.0,2024-12-05T12:00,-1154.0,2024-07-16T04:00,MW,SRC-EIA-930
subregion,MISO:0027,MISO:0027,MISO,UTC,8760,17912.937,12629.0,2024-10-13T09:00,31277.0,2024-08-26T22:00,0.572719,1599.0,2024-08-25T16:00,-2113.0,2024-08-27T23:00,MW,SRC-EIA-930
subregion,MISO:0035,MISO:0035,MISO,UTC,8760,10103.076,7028.0,2024-05-12T09:00,16927.0,2024-06-25T21:00,0.596862,977.0,2024-02-28T13:00,-983.0,2024-06-26T01:00,MW,SRC-EIA-930
subregion,MISO:8910,MISO:8910,MISO,UTC,8760,19980.535,13916.0,2024-04-14T10:00,32368.0,2024-08-06T22:00,0.617293,2134.0,2024-08-06T16:00,-1787.0,2024-08-06T04:00,MW,SRC-EIA-930
subregion,NYIS:ZONA,NYIS:ZONA,NYIS,UTC,8781,1754.648,1324.0,2024-04-07T19:00,2710.0,2024-07-29T23:00,0.647471,275.0,2024-08-27T19:00,-166.0,2024-07-16T18:00,MW,SRC-EIA-930
subregion,NYIS:ZONB,NYIS:ZONB,NYIS,UTC,8781,1063.357,612.0,2024-04-07T20:00,1915.0,2024-06-20T00:00,0.555278,205.0,2024-07-16T17:00,-186.0,2024-07-15T22:00,MW,SRC-EIA-930
subregion,NYIS:ZONC,NYIS:ZONC,NYIS,UTC,8781,1666.418,980.0,2024-10-12T18:00,2757.0,2024-06-20T00:00,0.604432,271.0,2024-10-09T21:00,-256.0,2024-10-18T14:00,MW,SRC-EIA-930
subregion,NYIS:ZOND,NYIS:ZOND,NYIS,UTC,8781,643.693,442.0,2024-12-30T06:00,827.0,2024-01-19T23:00,0.778346,148.0,2024-10-18T23:00,-196.0,2024-07-15T20:00,MW,SRC-EIA-930
