Annual mean global surface dry-air mole fractions derived from NOAA/GML measurements and historical records,,,,,,,,,,,,,,,,,,,,,,
,Used to derive radiative forcing and the AGGI for 2025,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HCFC-22,CFC-113,CFC-11,HCFC-141b,CCl4,CFC-12,HCFC-142b,CH3CCl3,H-1211,H-1301,H-2402,HFC-134a,HFC-152a,HFC-143a,HFC-125,HFC-365mfc,HFC-227ea,HFC-23,SF6
,ppm,ppb,ppb,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt
"Lan, X., Tans, P. and K.W. Thoning: Trends in globally-averaged CO2 determined from NOAA Global Monitoring Laboratory measurements. Version 2023-05 https://doi.org/10.15138/9N0H-ZH07",,,,,,,,,,,,,,,,,,,,,,
"Lan, X., E.J. Dlugokencky, J.W. Mund, A.M. Crotwell, M.J. Crotwell, E. Moglia, M. Madronich, D. Neff and K.W. Thoning (2022), Atmospheric Carbon Dioxide Dry Air Mole Fractions from the NOAA GML Carbon Cycle Cooperative Global Air Sampling Network, 1968-2021, Version: 2022-11-21, https://doi.org/10.15138/wkgj-f215",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
For CH4:,,,,,,,,,,,,,,,,,,,,,,
"Lan, X., E.J. Dlugokencky, J.W. Mund, A.M. Crotwell, M.J. Crotwell, E. Moglia, M. Madronich, D. Neff and K.W. Thoning (2022), Atmospheric Methane Dry Air Mole Fractions from the NOAA GML Carbon Cycle Cooperative Global Air Sampling Network, 1983-2021, Version: 2022-11-21, https://doi.org/10.15138/VNCZ-M766",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
For N2O:,,,,,,,,,,,,,,,,,,,,,,
"Dutton, G.S., B.D. Hall, E.J. Dlugokencky, X. Lan, J.D. Nance, M. Madronich (2023), Combined Atmospheric Nitrous Oxide Dry Air Mole Fractions from the NOAA GML Halocarbons Sampling Network, 1977-2023, Version: 2023-04-13, https://doi.org/10.15138/GMZ7-2Q16",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
for CFC-12:,,,,,,,,,,,,,,,,,,,,,,
"Dutton, G.S., Hall, S.A. Montzka, J.D. Nance (2023), Combined Atmospheric Chlorofluorocarbon-12 Dry Air Mole Fractions from the NOAA GML Halocarbon Samplng Network, 1977-2023, Version 2023-04-13, https://doi.org/10.15138/PJ63-H440",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
For CFC-11:,,,,,,,,,,,,,,,,,,,,,,
"Dutton, G.S., Hall, S.A. Montzka, J.D. Nance (2023), Combined Atmospheric Chlorofluorocarbon-11 Dry Air Mole Fractions from the NOAA GML Halocarbons Sampling Network, 1977-2023, Version: 2023-04-13,https://doi.org/10.15138/BVQ6-2S69",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
